id,name,categories,price,weight
e3bf1426-2efe-4af7-81bf-ebb2d56e3aa8,Legendary A Marvel Deck Building Deadpool Expansion Board Game,Toys & Games | Games & Accessories | Board Games,14119.2,8.0
1c7d5f31-6089-428f-a8db-8d7694d66df2,MightySkins Skin Compatible with Blade 200QX Quadcopter Drone wrap Cover Sticker Skins Weed,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,130952.64,1.0
5320c889-fdc8-4c14-b0f1-b5c9347a4661,Papo Alligator,Toys & Games | Toy Figures & Playsets | Action Figures,7.73,2.72
b0065ce6-71bc-401a-bdda-18562c671cdb,Skybound Horizon 11X18ft Rectangle Trampoline with Safety Enclosure and Ladder,Sports & Outdoors | Sports & Fitness | Leisure Sports & Game Room | Trampolines & Accessories | Trampolines,799.95,850.0
7afa6da2-760c-48ef-aa1a-502d36decdd1,"Q WORKSHOP Call of Cthulhu: Black and Green Dice, Set of 7",Toys & Games | Games & Accessories | Game Accessories | Role Playing Dice,120996.72,2.4
dfa047b7-f9c3-42af-870d-714549c5fbd8,Ubisoft Six Collection Figure - Montagne,,33242.4,3.36
aae35cea-8c43-44e4-85b4-76eabd4aa65e,"Nautical Boys 1st Birthday Beverage Napkins, 16ct",,108406181.6,1.44
4ae9e3d8-17ee-4830-9522-d9c1b8937c81,Baby GUND My Little Igloo Stuffed Plush Playset,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,18.46,4.8
869f9025-9b9b-4991-82b3-ba87b4647c1f,"TEAM LOSI RACING HD Open Ball Cup Set: All 22, TLR234078",Toys & Games | Play Vehicles | Vehicle Playsets,11.99,0.8
2a6ef1f7-8d4d-4428-b4fb-8eb0bbf75b4b,Licenses Products Grateful Dead Psycle Sam Sticker,Toys & Games | Arts & Crafts | Stickers,4.99,6.4
bef41ab4-70a6-4e1e-a312-9c4eda876ffe,"Nuby Cartoon Animal Rattle Teether Toy, Kitty Cat, 5""",Baby Products | Gifts | Keepsakes | Keepsake Rattles,46106.04,3.8
7af8759e-6d67-4e19-b2f9-3bcd7649c1c6,"Jada DC Comics Bombshells Supergirl & 1956 Ford F100 DIE-CAST Car, 1: 24 Scale Vehicle & 2.75"" Collectible Figurine 100% Metal",Toys & Games | Hobbies | Models & Model Kits | Pre-Built & Diecast Models | Vehicles,1079725369.36,1.8
a6bfdca2-fe79-41ce-8543-b64ea3039299,FanWraps Star Wars Resistance Droids Passenger Series Window Decal,,136791.57,5.0
d004e977-7261-44a7-a43b-57dacdc6b6ce,"Marvel Deadpool, ""Tough Guy"" Micro Raschel Throw Blanket, 46"" x 60"", Multi Color",Home & Kitchen | Bedding | Kids' Bedding | Blankets & Throws,23.7,1.25
2b98f13b-96f0-4792-bfe2-ea412883e68f,3B Scientific U10351 Interferometer Accessory Kit,Toys & Games | Learning & Education | Science Kits & Toys,17830920628.0,14.4
1f313b53-a941-4323-ba5c-76404b490331,MightySkins Skin Compatible with Razor Hovertrax 2.0 Hover Board Self-Balancing Smart Scooter wrap Cover Sticker Skins Dolphin,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Accessories",553.48,1.0
